node_id,floor,macro_zone,micro_zone,node_role,type,name_ko,description,neighbors,neighbor_move_types,pos_x,pos_y,connector_group,room_range,anchor_room,ocr_primary,ocr_secondary,landmark_tags
3002,3,3F,3F_C1_ANCHOR,ANCHOR,GATE,3층 C1 앞,전시장 C1 출입구 전면 앵커 지점,3131,WALK,360,285,,,,C1,전시장C홀,c1_gate;upper_anchor;hall_sign
3003,3,3F,3F_C3_ANCHOR,ANCHOR,GATE,3층 C3 앞,전시장 C3 출입구 전면 앵커 지점,3142,WALK,372,52,,,,C3,전시장C홀,c3_gate;upper_anchor;hall_sign
3004,3,3F,3F_D1_ANCHOR,ANCHOR,GATE,3층 D1 앞,전시장 D1 출입구 전면 앵커 지점,3017,WALK,615,420,,,,D1,전시장D홀,d1_gate;upper_anchor;hall_sign
3005,3,3F,3F_D2_ANCHOR,ANCHOR,GATE,3층 D2 앞,전시장 D2 출입구 전면 앵커 지점,3019,WALK,719,420,,,,D2,전시장D홀,d2_gate;upper_anchor;hall_sign
3008,3,3F,3F_AUD_ENTRY,DEST,ROOM,3층 오디토리움 입구,오디토리움 진입 전면 목적지 지점,3020,WALK,821,208,,,,오디토리움,,auditorium_entry;large_facility
3009,3,3F,3F_MR1A_FRONT,DEST,ROOM,3층 미팅룸 1A 앞,미팅룸 1A 전면 목적지 지점,3020,WALK,831,334,,,,미팅룸1A,오디토리움,meeting_room;east_branch
3010,3,3F,3F_MR2A_FRONT,DEST,ROOM,3층 미팅룸 2A 앞,미팅룸 2A 전면 목적지 지점,3022,WALK,831,36,,,,미팅룸2A,오디토리움,meeting_room;upper_east
3013,3,3F,3F_WEST_CORE_LOWER_JUNCTION,NAV,CORRIDOR,3층 서측 코어 하부 분기점,서측 코어 하부 통로와 E구역 서측 세로 통로가 만나는 하부 분기 지점,3044;3014;3132,WALK;WALK;WALK,286,535,,,,서측코어,하부복도;E구역서측,west_core;lower_junction;decision_point;ezone_link
3014,3,3F,3F_E_WEST_FRONT,NAV,CORRIDOR,3층 E존 서측 전면부,3013 하부 통로와 3132 상부 연결부 사이의 E구역 서측 세로 통로,3013;3132;3015;3080;3148;3149,WALK;WALK;WALK;WALK;WALK;WALK,350,466,,,,E구역,기도실;E구역서측,e_zone_west_vertical;prayer_room_link;decision_point
3015,3,3F,3F_E_CENTER_FRONT,NAV,CORRIDOR,3층 E존 중앙 전면부,"E구역 하부 backbone과 E1-E4, E5-E6, E7-E8 내부 복도 입구가 갈라지는 중앙 구간",3014;3016;3021;3137;3138,WALK;WALK;WALK;WALK;WALK,422,521,,,,E구역,E1-E8;하부복도,e_zone_front;center_backbone;entry_split;decision_point
3016,3,3F,3F_E_EAST_LOWER_JUNCTION,NAV,CORRIDOR,3층 E구역 동단 하부 분기점,E구역 하단 backbone에서 D1 남측 연결 방향으로 이어지는 동단 굴절 지점,3015;3140,WALK;WALK,560,521,,,,E6,D1;하부복도,e_zone_front;east_lower_junction;d1_route;decision_point
3017,3,3F,3F_D1_LOWER,NAV,CORRIDOR,3층 D1 하단부,D1 하단 복도 접근 및 D1 앵커 방향 연결 지점,3135;3018;3004,WALK;WALK;WALK,615,446,,,,D1,전시장D홀,d1_lower;backbone;anchor_link
3018,3,3F,3F_D12_LOWER_CENTER,NAV,CORRIDOR,3층 D1-D2 하단 중앙,D1과 D2 하단부 사이 backbone 핵심 분기 지점,3017;3019,WALK;WALK,669,446,,,,D홀,D1;D2,backbone_center;decision_point
3019,3,3F,3F_D2_LOWER,NAV,CORRIDOR,3층 D2 하단부,D2 하단 복도 접근 지점,3018;3020;3005,WALK;WALK;WALK,719,446,,,,D2,전시장D홀,d2_lower;backbone;anchor_link
