row_index,view_id,node_id,view_label,view_role,direction_to,image_path,use_for_localization
0,3F_3013_axis_from3132_01,3013,axis_from3132,corridor,,view/3F/3013/3F_3013_axis_from3132_01.jpg,true
1,3F_3013_axis_to3132_01,3013,axis_to3132,corridor,3132.0,view/3F/3013/3F_3013_axis_to3132_01.jpg,true
2,3F_3013_context_01,3013,context,context,,view/3F/3013/3F_3013_context_01.jpg,true
3,3F_3013_from3014_01,3013,from3014,corridor,,view/3F/3013/3F_3013_from3014_01.jpg,true
4,3F_3013_to3014_01,3013,to3014,corridor,3014.0,view/3F/3013/3F_3013_to3014_01.jpg,true
5,3F_3014_from3013conn_to_junction_01,3014,from3013conn_to_junction,connector,,view/3F/3014/3F_3014_from3013conn_to_junction_01.jpg,true
6,3F_3014_from3132conn_to_junction_01,3014,from3132conn_to_junction,connector,,view/3F/3014/3F_3014_from3132conn_to_junction_01.jpg,true
7,3F_3014_junction_axis_01,3014,junction_axis,corridor,,view/3F/3014/3F_3014_junction_axis_01.jpg,true
8,3F_3014_junction_axis_02,3014,junction_axis,corridor,,view/3F/3014/3F_3014_junction_axis_02.jpg,true
9,3F_3014_to3013conn_01,3014,to3013conn,connector,3013.0,view/3F/3014/3F_3014_to3013conn_01.jpg,true
10,3F_3014_to3080_01,3014,to3080,corridor,3080.0,view/3F/3014/3F_3014_to3080_01.jpg,true
11,3F_3014_to3080_02,3014,to3080,corridor,3080.0,view/3F/3014/3F_3014_to3080_02.jpg,true
12,3F_3014_to3132conn_01,3014,to3132conn,connector,3132.0,view/3F/3014/3F_3014_to3132conn_01.jpg,true
13,3F_3014_to3148_01,3014,to3148,corridor,3148.0,view/3F/3014/3F_3014_to3148_01.jpg,true
14,3F_3014_to3149_01,3014,to3149,corridor,3149.0,view/3F/3014/3F_3014_to3149_01.jpg,true
15,3F_3015_side_doors_from3014_01,3015,side_doors_from3014,door,,view/3F/3015/3F_3015_side_doors_from3014_01.jpg,false
16,3F_3015_side_doors_from3016_01,3015,side_doors_from3016,door,,view/3F/3015/3F_3015_side_doors_from3016_01.jpg,false
17,3F_3015_to3014_01,3015,to3014,corridor,3014.0,view/3F/3015/3F_3015_to3014_01.jpg,true
18,3F_3015_to3016_01,3015,to3016,corridor,3016.0,view/3F/3015/3F_3015_to3016_01.jpg,true
19,3F_3015_to3021_01,3015,to3021,corridor,3021.0,view/3F/3015/3F_3015_to3021_01.jpg,true
20,3F_3015_to3137_01,3015,to3137,corridor,3137.0,view/3F/3015/3F_3015_to3137_01.jpg,true
21,3F_3015_to3138_01,3015,to3138,corridor,3138.0,view/3F/3015/3F_3015_to3138_01.jpg,true
22,3F_3016_to3015_01,3016,to3015,corridor,3015.0,view/3F/3016/3F_3016_to3015_01.jpg,true
23,3F_3016_to3015_02,3016,to3015,corridor,3015.0,view/3F/3016/3F_3016_to3015_02.jpg,true
24,3F_3016_to3140_01,3016,to3140,corridor,3140.0,view/3F/3016/3F_3016_to3140_01.jpg,true
25,3F_3016_to3140_02,3016,to3140,corridor,3140.0,view/3F/3016/3F_3016_to3140_02.jpg,true
26,3F_3017_to3004_01,3017,to3004,corridor,3004.0,view/3F/3017/3F_3017_to3004_01.jpg,true
27,3F_3017_to3018_01,3017,to3018,corridor,3018.0,view/3F/3017/3F_3017_to3018_01.jpg,true
28,3F_3017_to3135_01,3017,to3135,corridor,3135.0,view/3F/3017/3F_3017_to3135_01.jpg,true
29,3F_3021_door_to3015_01,3021,door_to3015,door,3015.0,view/3F/3021/3F_3021_door_to3015_01.jpg,false
30,3F_3021_to3015_01,3021,to3015,corridor,3015.0,view/3F/3021/3F_3021_to3015_01.jpg,true
31,3F_3021_to_E7E8_01,3021,to_E7E8,corridor,,view/3F/3021/3F_3021_to_E7E8_01.jpg,true
32,3F_3021_to_E7E8_02,3021,to_E7E8,corridor,,view/3F/3021/3F_3021_to_E7E8_02.jpg,true
33,3F_3021_to_E7E8_context_01,3021,to_E7E8_context,context,,view/3F/3021/3F_3021_to_E7E8_context_01.jpg,true
34,3F_3021_to_E7E8_context_02,3021,to_E7E8_context,context,,view/3F/3021/3F_3021_to_E7E8_context_02.jpg,true
35,3F_3021_to_E7E8_context_03,3021,to_E7E8_context,context,,view/3F/3021/3F_3021_to_E7E8_context_03.jpg,true
