view_id,node_id,floor,view_label,image_path,view_role,direction_to,use_for_localization,memo
3F_3013_axis_from3132_01,3013,3F,axis_from3132,view/3F/3013/3F_3013_axis_from3132_01.jpg,corridor,,true,view_label=axis_from3132
3F_3013_axis_to3132_01,3013,3F,axis_to3132,view/3F/3013/3F_3013_axis_to3132_01.jpg,corridor,3132,true,view_label=axis_to3132
3F_3013_context_01,3013,3F,context,view/3F/3013/3F_3013_context_01.jpg,context,,true,view_label=context
3F_3013_from3014_01,3013,3F,from3014,view/3F/3013/3F_3013_from3014_01.jpg,corridor,,true,view_label=from3014
3F_3013_to3014_01,3013,3F,to3014,view/3F/3013/3F_3013_to3014_01.jpg,corridor,3014,true,
3F_3014_from3013conn_to_junction_01,3014,3F,from3013conn_to_junction,view/3F/3014/3F_3014_from3013conn_to_junction_01.jpg,connector,,true,view_label=from3013conn_to_junction
3F_3014_from3132conn_to_junction_01,3014,3F,from3132conn_to_junction,view/3F/3014/3F_3014_from3132conn_to_junction_01.jpg,connector,,true,view_label=from3132conn_to_junction
3F_3014_junction_axis_01,3014,3F,junction_axis,view/3F/3014/3F_3014_junction_axis_01.jpg,corridor,,true,
3F_3014_junction_axis_02,3014,3F,junction_axis,view/3F/3014/3F_3014_junction_axis_02.jpg,corridor,,true,
3F_3014_to3013conn_01,3014,3F,to3013conn,view/3F/3014/3F_3014_to3013conn_01.jpg,connector,3013,true,
3F_3014_to3080_01,3014,3F,to3080,view/3F/3014/3F_3014_to3080_01.jpg,corridor,3080,true,
3F_3014_to3080_02,3014,3F,to3080,view/3F/3014/3F_3014_to3080_02.jpg,corridor,3080,true,
3F_3014_to3132conn_01,3014,3F,to3132conn,view/3F/3014/3F_3014_to3132conn_01.jpg,connector,3132,true,
3F_3014_to3148_01,3014,3F,to3148,view/3F/3014/3F_3014_to3148_01.jpg,corridor,3148,true,
3F_3014_to3149_01,3014,3F,to3149,view/3F/3014/3F_3014_to3149_01.jpg,corridor,3149,true,
3F_3015_side_doors_from3014_01,3015,3F,side_doors_from3014,view/3F/3015/3F_3015_side_doors_from3014_01.jpg,door,,false,room entrance candidate
3F_3015_side_doors_from3016_01,3015,3F,side_doors_from3016,view/3F/3015/3F_3015_side_doors_from3016_01.jpg,door,,false,room entrance candidate
3F_3015_to3014_01,3015,3F,to3014,view/3F/3015/3F_3015_to3014_01.jpg,corridor,3014,true,
3F_3015_to3016_01,3015,3F,to3016,view/3F/3015/3F_3015_to3016_01.jpg,corridor,3016,true,
3F_3015_to3021_01,3015,3F,to3021,view/3F/3015/3F_3015_to3021_01.jpg,corridor,3021,true,
3F_3015_to3137_01,3015,3F,to3137,view/3F/3015/3F_3015_to3137_01.jpg,corridor,3137,true,
3F_3015_to3138_01,3015,3F,to3138,view/3F/3015/3F_3015_to3138_01.jpg,corridor,3138,true,
3F_3016_to3015_01,3016,3F,to3015,view/3F/3016/3F_3016_to3015_01.jpg,corridor,3015,true,
3F_3016_to3015_02,3016,3F,to3015,view/3F/3016/3F_3016_to3015_02.jpg,corridor,3015,true,
3F_3016_to3140_01,3016,3F,to3140,view/3F/3016/3F_3016_to3140_01.jpg,corridor,3140,true,
3F_3016_to3140_02,3016,3F,to3140,view/3F/3016/3F_3016_to3140_02.jpg,corridor,3140,true,
3F_3017_to3004_01,3017,3F,to3004,view/3F/3017/3F_3017_to3004_01.jpg,corridor,3004,true,
3F_3017_to3018_01,3017,3F,to3018,view/3F/3017/3F_3017_to3018_01.jpg,corridor,3018,true,
3F_3017_to3135_01,3017,3F,to3135,view/3F/3017/3F_3017_to3135_01.jpg,corridor,3135,true,
3F_3021_door_to3015_01,3021,3F,door_to3015,view/3F/3021/3F_3021_door_to3015_01.jpg,door,3015,false,room entrance candidate
3F_3021_to3015_01,3021,3F,to3015,view/3F/3021/3F_3021_to3015_01.jpg,corridor,3015,true,
3F_3021_to_E7E8_01,3021,3F,to_E7E8,view/3F/3021/3F_3021_to_E7E8_01.jpg,corridor,,true,
3F_3021_to_E7E8_02,3021,3F,to_E7E8,view/3F/3021/3F_3021_to_E7E8_02.jpg,corridor,,true,
3F_3021_to_E7E8_context_01,3021,3F,to_E7E8_context,view/3F/3021/3F_3021_to_E7E8_context_01.jpg,context,,true,view_label=to_E7E8_context
3F_3021_to_E7E8_context_02,3021,3F,to_E7E8_context,view/3F/3021/3F_3021_to_E7E8_context_02.jpg,context,,true,view_label=to_E7E8_context
3F_3021_to_E7E8_context_03,3021,3F,to_E7E8_context,view/3F/3021/3F_3021_to_E7E8_context_03.jpg,context,,true,view_label=to_E7E8_context
3F_3043_center_context_01,3043,3F,center_context,view/3F/3043/3F_3043_center_context_01.jpg,context,,true,view_label=center_context
3F_3043_center_context_02,3043,3F,center_context,view/3F/3043/3F_3043_center_context_02.jpg,context,,true,view_label=center_context
3F_3043_from3044_to_inside_01,3043,3F,from3044_to_inside,view/3F/3043/3F_3043_from3044_to_inside_01.jpg,corridor,,true,view_label=from3044_to_inside
3F_3043_from3044_to_inside_02,3043,3F,from3044_to_inside,view/3F/3043/3F_3043_from3044_to_inside_02.jpg,corridor,,true,view_label=from3044_to_inside
3F_3043_left_doors_diag_01,3043,3F,left_doors_diag,view/3F/3043/3F_3043_left_doors_diag_01.jpg,door,,false,room entrance candidate
3F_3043_right_doors_diag_01,3043,3F,right_doors_diag,view/3F/3043/3F_3043_right_doors_diag_01.jpg,door,,false,room entrance candidate
3F_3043_to3044_exit_01,3043,3F,to3044_exit,view/3F/3043/3F_3043_to3044_exit_01.jpg,corridor,3044,true,
3F_3044_axis_to3046_01,3044,3F,axis_to3046,view/3F/3044/3F_3044_axis_to3046_01.jpg,corridor,3046,true,view_label=axis_to3046
3F_3044_axis_toEnd_01,3044,3F,axis_toEnd,view/3F/3044/3F_3044_axis_toEnd_01.jpg,corridor,,true,view_label=axis_toEnd
3F_3044_to3013_foyer_01,3044,3F,to3013_foyer,view/3F/3044/3F_3044_to3013_foyer_01.jpg,foyer,3013,true,
3F_3044_to3013_foyer_02,3044,3F,to3013_foyer,view/3F/3044/3F_3044_to3013_foyer_02.jpg,foyer,3013,true,
3F_3044_to3043_ent_01,3044,3F,to3043_ent,view/3F/3044/3F_3044_to3043_ent_01.jpg,door,3043,false,room entrance candidate
3F_3046_axis_to3044_01,3046,3F,axis_to3044,view/3F/3046/3F_3046_axis_to3044_01.jpg,corridor,3044,true,view_label=axis_to3044
3F_3046_axis_to3048_01,3046,3F,axis_to3048,view/3F/3046/3F_3046_axis_to3048_01.jpg,corridor,3048,true,view_label=axis_to3048
3F_3046_to3045_ent_01,3046,3F,to3045_ent,view/3F/3046/3F_3046_to3045_ent_01.jpg,door,3045,false,room entrance candidate
3F_3046_to3132_foyer_01,3046,3F,to3132_foyer,view/3F/3046/3F_3046_to3132_foyer_01.jpg,foyer,3132,true,
3F_3046_to3132_foyer_02,3046,3F,to3132_foyer,view/3F/3046/3F_3046_to3132_foyer_02.jpg,foyer,3132,true,
3F_3048_axis_to3046_01,3048,3F,axis_to3046,view/3F/3048/3F_3048_axis_to3046_01.jpg,corridor,3046,true,view_label=axis_to3046
3F_3048_axis_to3050_01,3048,3F,axis_to3050,view/3F/3048/3F_3048_axis_to3050_01.jpg,corridor,3050,true,view_label=axis_to3050
3F_3048_to3047_ent_01,3048,3F,to3047_ent,view/3F/3048/3F_3048_to3047_ent_01.jpg,door,3047,false,room entrance candidate
3F_3048_to3131_foyer_01,3048,3F,to3131_foyer,view/3F/3048/3F_3048_to3131_foyer_01.jpg,foyer,3131,true,
3F_3048_to3131_foyer_02,3048,3F,to3131_foyer,view/3F/3048/3F_3048_to3131_foyer_02.jpg,foyer,3131,true,
3F_3048_to3131_foyer_03,3048,3F,to3131_foyer,view/3F/3048/3F_3048_to3131_foyer_03.jpg,foyer,3131,true,
3F_3048_to3131_foyer_04,3048,3F,to3131_foyer,view/3F/3048/3F_3048_to3131_foyer_04.jpg,foyer,3131,true,
3F_3050_axis_to3048_01,3050,3F,axis_to3048,view/3F/3050/3F_3050_axis_to3048_01.jpg,corridor,3048,true,view_label=axis_to3048
3F_3050_axis_to3052_01,3050,3F,axis_to3052,view/3F/3050/3F_3050_axis_to3052_01.jpg,corridor,3052,true,view_label=axis_to3052
3F_3050_to3049_terminal_01,3050,3F,to3049_terminal,view/3F/3050/3F_3050_to3049_terminal_01.jpg,corridor,3049,true,
